시도명,시군구명,도로종류,도로노선번호,도로노선명,도로노선방향,소재지도로명주소,소재지지번주소,lat,lon,신호기설치방식,도로형태,주도로여부,신호등관리번호,신호등구분,신호등색종류,신호등화방식,신호등화순서,신호등화시간,광원종류,신호제어방식,신호시간결정방식,점멸등운영여부,점멸등운영시작시각,점멸등운영종료시각,보행자작동신호기유무,잔여시간표시기유무,시각장애인용음향신호기유무,도로안내표지일련번호,관리기관명,관리기관전화번호,데이터기준일자
경기도,수원시,시도,경수대로,경수대로,3,경기도 수원시 팔달구 인계로 75,경기도 수원시 팔달구 인계동 967-6,37.2689878,127.025986,99,2,Y,16,1,4,99,녹색/녹색화살표+황색+녹색+황색+적색,30+3+50+3+3,2,2,1,N,23:59,23:59,N,Y,Y,,수원시도시안전통합센터,031-228-4432,2021-05-10
경기도,수원시,시도,인계로,인계로,3,경기도 수원시 팔달구 장다리로 217,경기도 수원시 팔달구 인계동 974-3,37.26929286,127.0256344,99,2,Y,17,1,4,4,녹색+황색+적색/녹색화살표+황색/적색,65+3+15+3,2,2,1,N,23:59,23:59,N,Y,N,,수원시도시안전통합센터,031-228-4432,2021-05-10
경기도,수원시,시도,인계로,인계로,3,,경기도 수원시 팔달구 인계동 865-16,37.26945828,127.0226683,99,2,Y,18,1,4,4,녹색+황색+적색/녹색화살표+황색/적색,65+3+15+3,2,2,1,N,23:59,23:59,N,Y,N,,수원시도시안전통합센터,031-228-4432,2021-05-10
경기도,수원시,시도,경수대로,경수대로,3,경기도 수원시 팔달구 효원로235번길 13,경기도 수원시 팔달구 인계동 1028,37.26364659,127.0270007,99,2,Y,19,1,4,4,녹색+황색+적색/녹색화살표+황색/적색,65+3+15+3,2,2,1,N,23:59,23:59,N,Y,Y,,수원시도시안전통합센터,031-228-4432,2021-05-10
경기도,수원시,시도,효원로,효원로,3,경기도 수원시 팔달구 경수대로421번길 15,경기도 수원시 팔달구 인계동 1013-2,37.26400531,127.0242917,99,2,Y,20,1,4,4,녹색/녹색화살표+황색+적색,70+3+23,2,2,1,N,23:59,23:59,N,Y,N,,수원시도시안전통합센터,031-228-4432,2021-05-10
경기도,수원시,시도,효원로,효원로,3,,경기도 수원시 권선구 권선동 1068,37.26401618,127.0220017,99,2,Y,21,1,4,5,녹색/녹색화살표+황색+녹색+황색+적색,30+3+50+3+3,2,2,1,N,23:59,23:59,N,Y,N,,수원시도시안전통합센터,031-228-4432,2021-05-10
경기도,수원시,시도,경수대로,경수대로,3,경기도 수원시 권선구 경수대로 382,경기도 수원시 권선구 권선동 1008,37.26035543,127.0244838,99,2,Y,22,1,4,4,녹색/녹색화살표+황색+적색,70+3+23,2,2,1,N,23:59,23:59,N,Y,Y,,수원시도시안전통합센터,031-228-4432,2021-05-10
경기도,수원시,시도,권선로,권선로,3,경기도 수원시 권선구 경수대로381번길 19,경기도 수원시 권선구 권선동 962-9,37.26070913,127.0227787,99,2,Y,23,1,4,5,녹색/녹색화살표+황색+녹색+황색+적색,30+3+50+3+3,2,2,1,N,23:59,23:59,N,Y,N,,수원시도시안전통합센터,031-228-4432,2021-05-10
경기도,수원시,시도,경수대로,경수대로,3,경기도 수원시 권선구 세권로 157,경기도 수원시 권선구 권선동 1003,37.25658517,127.0216432,99,2,Y,24,1,4,99,녹색/녹색화살표+황색+녹색+황색+적색,30+3+50+3+3,2,2,1,N,23:59,23:59,N,Y,N,,수원시도시안전통합센터,031-228-4432,2021-05-10
경기도,수원시,시도,월드컵로,월드컵로,3,,경기도 수원시 팔달구 우만동 183-3,37.28384443,127.0370043,99,2,Y,25,1,3,3,녹색/녹색화살표+황색+녹색+황색+적색,30+3+50+3+3,2,2,1,N,23:59,23:59,N,Y,N,,수원시도시안전통합센터,031-228-4432,2021-05-10
경기도,수원시,시도,하탑로,하탑로,3,,경기도 수원시 팔달구 우만동 183-3,37.28384443,127.0370043,99,1,N,26,1,3,4,녹색+황색+적색,37+3+60,2,2,1,N,23:59,23:59,N,Y,N,,수원시도시안전통합센터,031-228-4432,2021-05-10
경기도,수원시,시도,권광로,권광로,3,,경기도 수원시 팔달구 인계동 369-1,37.27237488,127.0351388,99,2,Y,27,1,4,4,녹색/녹색화살표+황색+녹색+황색+적색,30+3+50+3+3,2,2,1,N,23:59,23:59,N,Y,Y,,수원시도시안전통합센터,031-228-4432,2021-05-10
경기도,수원시,시도,권광로,권광로,3,,경기도 수원시 팔달구 인계동 448,37.2666807,127.0339188,99,2,Y,28,1,4,5,녹색/녹색화살표+황색+녹색+황색+적색,30+3+50+3+3,2,2,1,N,23:59,23:59,N,Y,Y,,수원시도시안전통합센터,031-228-4432,2021-05-10
경기도,수원시,시도,권광로,권광로,3,,경기도 수원시 팔달구 인계동 464,37.26887901,127.0346976,99,2,Y,29,1,4,3,녹색+황색+적색/녹색화살표+황색/적색,65+3+15+3,2,2,1,N,23:59,23:59,N,N,N,,수원시도시안전통합센터,031-228-4432,2021-05-10
경기도,수원시,시도,인계로,인계로,3,,경기도 수원시 팔달구 인계동 1036-13,37.26683611,127.0311763,99,2,Y,30,1,3,3,녹색+녹색화살표+황색/적색,80+18+3,2,2,1,N,23:59,23:59,N,Y,N,,수원시도시안전통합센터,031-228-4432,2021-05-10
경기도,수원시,시도,인계로,인계로,3,경기도 수원시 팔달구 인계로 170,경기도 수원시 팔달구 인계동 1116,37.26600805,127.0360649,99,2,Y,31,1,3,3,녹색+황색+적색/녹색화살표+황색/적색,65+3+15+3,2,2,1,N,23:59,23:59,N,Y,Y,,수원시도시안전통합센터,031-228-4432,2021-05-10
경기도,수원시,시도,권광로,권광로,3,경기도 수원시 팔달구 인계로166번길 48-21,경기도 수원시 팔달구 인계동 1119,37.26460056,127.0334345,99,1,Y,32,1,3,2,녹색+황색+적색,37+3+60,2,2,1,N,23:59,23:59,N,Y,N,,수원시도시안전통합센터,031-228-4432,2021-05-10
경기도,수원시,시도,권광로,권광로,3,경기도 수원시 권선구 효원로 268,경기도 수원시 권선구 권선동 1014,37.26154371,127.0308707,99,2,Y,33,1,4,99,녹색/녹색화살표+황색+녹색+황색+적색,30+3+50+3+3,2,2,1,N,23:59,23:59,N,Y,Y,,수원시도시안전통합센터,031-228-4432,2021-05-10
경기도,수원시,시도,효원로,효원로,3,경기도 수원시 팔달구 효원로 296,경기도 수원시 팔달구 인계동 1127,37.26048261,127.0337982,99,2,Y,34,1,4,5,녹색+황색+적색/녹색화살표+황색/적색,65+3+15+3,2,2,1,N,23:59,23:59,N,Y,Y,,수원시도시안전통합센터,031-228-4432,2021-05-10
경기도,수원시,시도,권광로,권광로,3,경기도 수원시 권선구 권광로123번길 16,경기도 수원시 권선구 권선동 1015-3,37.25932226,127.0298583,99,2,Y,35,1,3,3,녹색+녹색화살표+황색/적색,80+18+3,2,2,1,N,23:59,23:59,N,Y,N,,수원시도시안전통합센터,031-228-4432,2021-05-10
경기도,수원시,시도,권광로,권광로,3,경기도 수원시 권선구 권광로110번길 3,경기도 수원시 권선구 권선동 1025-11,37.25762104,127.0304665,99,2,Y,36,1,4,4,녹색/녹색화살표+황색+적색,70+3+23,2,2,1,N,23:59,23:59,N,Y,Y,,수원시도시안전통합센터,031-228-4432,2021-05-10
경기도,수원시,시도,권광로,권광로,3,경기도 수원시 권선구 권광로 81-1,경기도 수원시 권선구 권선동 1042-10,37.25529003,127.0291053,99,2,Y,37,1,4,4,녹색/녹색화살표+황색+적색,70+3+23,2,2,1,N,23:59,23:59,N,N,N,,수원시도시안전통합센터,031-228-4432,2021-05-10
경기도,수원시,시도,중부대로,중부대로,3,경기도 수원시 팔달구 중부대로 171-2,경기도 수원시 팔달구 우만동 447,37.27761423,127.0351026,99,2,Y,38,1,4,3,녹색+황색+적색/녹색화살표+황색/적색,65+3+15+3,2,2,1,N,23:59,23:59,N,Y,Y,,수원시도시안전통합센터,031-228-4432,2021-05-10
경기도,수원시,시도,중부대로,중부대로,3,,경기도 수원시 영통구 원천동 86-6,37.27356897,127.0481956,99,2,Y,39,1,4,5,녹색/녹색화살표+황색+녹색+황색+적색,30+3+50+3+3,2,2,1,N,23:59,23:59,N,Y,Y,,수원시도시안전통합센터,031-228-4432,2021-05-10
경기도,수원시,시도,동수원로,동수원로,3,경기도 수원시 영통구 동수원로 520-1,경기도 수원시 영통구 매탄동 910,37.27310106,127.0474586,99,1,Y,40,1,3,2,녹색+황색+적색,37+3+60,2,2,1,N,23:59,23:59,N,Y,Y,,수원시도시안전통합센터,031-228-4432,2021-05-10
경기도,수원시,시도,중부대로,중부대로,3,,경기도 수원시 영통구 매탄동 14-7,37.27237707,127.0544185,99,2,Y,41,1,4,4,녹색+황색+적색/녹색화살표+황색/적색,65+3+15+3,2,2,1,N,23:59,23:59,N,Y,Y,,수원시도시안전통합센터,031-228-4432,2021-05-10
경기도,수원시,시도,호매실로,호매실로,3,,경기도 수원시 권선구 호매실동 1444,37.25443268,126.961897,99,2,N,42,1,4,99,녹색+황색+적색,37+3+60,2,2,1,N,23:59,23:59,N,Y,N,,수원시도시안전통합센터,031-228-4432,2021-05-10
경기도,수원시,시도,중부대로,중부대로,3,경기도 수원시 팔달구 중부대로 171-2,경기도 수원시 팔달구 우만동 447,37.27761423,127.0351026,99,2,Y,43,1,4,4,녹색+황색+적색/녹색화살표+황색/적색,65+3+15+3,2,2,1,N,23:59,23:59,N,Y,Y,,수원시도시안전통합센터,031-228-4432,2021-05-10
경기도,수원시,시도,창룡대로,창룡대로,3,,경기도 수원시 팔달구 우만동 580,37.29101019,127.0262827,99,2,Y,44,1,4,5,녹색/녹색화살표+황색+녹색+황색+적색,30+3+50+3+3,2,2,1,N,23:59,23:59,N,Y,N,,수원시도시안전통합센터,031-228-4432,2021-05-10
경기도,수원시,시도,창룡대로,창룡대로,3,,경기도 수원시 팔달구 우만동 453,37.29292766,127.0337491,99,2,Y,45,1,3,3,녹색+황색+적색/녹색화살표+황색/적색,65+3+15+3,2,2,1,N,23:59,23:59,N,Y,N,,수원시도시안전통합센터,031-228-4432,2021-05-10
경기도,수원시,시도,월드컵로,월드컵로,3,,경기도 수원시 팔달구 우만동 534,37.2873775,127.0331379,99,2,Y,46,1,3,4,녹색/녹색화살표+황색+녹색+황색+적색,30+3+50+3+3,2,2,1,N,23:59,23:59,N,Y,Y,,수원시도시안전통합센터,031-228-4432,2021-05-10
경기도,수원시,시도,월드컵로,월드컵로,3,,경기도 수원시 팔달구 우만동 534,37.2873775,127.0331379,99,2,Y,47,1,4,3,녹색+황색+적색/녹색화살표+황색/적색,65+3+15+3,2,2,1,N,23:59,23:59,N,Y,Y,,수원시도시안전통합센터,031-228-4432,2021-05-10
경기도,수원시,시도,중부대로,중부대로,3,,경기도 수원시 팔달구 인계동 929-3,37.27693372,127.0364149,99,2,Y,48,1,4,99,녹색/녹색화살표+황색+녹색+황색+적색,30+3+50+3+3,2,2,1,N,23:59,23:59,N,Y,N,,수원시도시안전통합센터,031-228-4432,2021-05-10
경기도,수원시,시도,창룡대로,창룡대로,3,,경기도 수원시 영통구 이의동 1281,37.29762019,127.0400557,99,2,Y,49,1,4,5,녹색+녹색화살표+황색/적색,80+18+3,2,2,1,N,23:59,23:59,N,Y,Y,,수원시도시안전통합센터,031-228-4432,2021-05-10
경기도,수원시,시도,창룡대로,창룡대로,3,,경기도 수원시 영통구 이의동 1379-7,37.2951752,127.0491672,99,2,Y,50,1,4,5,녹색/녹색화살표+황색+녹색+황색+적색,30+3+50+3+3,2,2,1,N,23:59,23:59,N,Y,Y,,수원시도시안전통합센터,031-228-4432,2021-05-10
경기도,수원시,시도,세화로,세화로,3,,경기도 수원시 권선구 서둔동 333-4,37.26307137,126.9948667,99,2,Y,51,1,3,4,녹색/녹색화살표+황색+적색,70+3+23,2,2,1,N,23:59,23:59,N,Y,Y,,수원시도시안전통합센터,031-228-4432,2021-05-10
경기도,수원시,시도,봉영로,봉영로,3,경기도 수원시 영통구 봉영로 1766-1,경기도 수원시 영통구 영통동 1055,37.25136708,127.0713249,99,2,Y,52,1,4,99,녹색+황색+적색/녹색화살표+황색/적색,65+3+15+3,2,2,1,N,23:59,23:59,N,Y,Y,,수원시도시안전통합센터,031-228-4432,2021-05-10
경기도,수원시,시도,봉영로,봉영로,3,경기도 수원시 영통구 봉영로 1766-1,경기도 수원시 영통구 영통동 1055,37.25136708,127.0713249,99,2,Y,53,1,4,3,녹색+황색+적색/녹색화살표+황색/적색,65+3+15+3,2,2,1,N,23:59,23:59,N,Y,N,,수원시도시안전통합센터,031-228-4432,2021-05-10
경기도,수원시,시도,봉영로,봉영로,3,,경기도 수원시 영통구 영통동 1053-1,37.26579306,127.0824404,99,2,Y,54,1,4,99,녹색/녹색화살표+황색+녹색+황색+적색,30+3+50+3+3,2,2,1,N,23:59,23:59,N,Y,Y,,수원시도시안전통합센터,031-228-4432,2021-05-10
경기도,수원시,시도,봉영로,봉영로,3,,경기도 수원시 영통구 영통동 1048-1,37.25918164,127.0791869,99,2,Y,55,1,4,99,녹색/녹색화살표+황색+녹색+황색+적색,30+3+50+3+3,2,2,1,N,23:59,23:59,N,Y,N,,수원시도시안전통합센터,031-228-4432,2021-05-10
경기도,수원시,시도,덕영대로,덕영대로,3,경기도 수원시 영통구 덕영대로 지하 1520,경기도 수원시 영통구 영통동 1069,37.24579057,127.0574766,99,2,Y,56,1,4,5,녹색/녹색화살표+황색+적색,70+3+23,2,2,1,N,23:59,23:59,N,N,N,,수원시도시안전통합센터,031-228-4432,2021-05-10
경기도,수원시,시도,봉영로,봉영로,3,경기도 수원시 영통구 봉영로 1766-1,경기도 수원시 영통구 영통동 1055,37.25136708,127.0713249,99,2,Y,57,1,4,5,녹색/녹색화살표+황색+녹색+황색+적색,30+3+50+3+3,2,2,1,N,23:59,23:59,N,Y,N,,수원시도시안전통합센터,031-228-4432,2021-05-10
경기도,수원시,시도,매영로,매영로,3,,경기도수원시 영통구 영통동 1076,37.24927318,127.0745782,99,2,N,58,1,4,4,녹색+녹색화살표+황색/적색,80+18+3,2,2,1,Y,23:59,5:00,N,Y,Y,,수원시도시안전통합센터,031-228-4432,2021-05-10
경기도,수원시,시도,매영로,매영로,3,경기도 수원시 영통구 매영로310번길 35-1,경기도 수원시 영통구 영통동 1062,37.24967709,127.062731,99,2,Y,59,1,3,4,녹색+녹색화살표+황색/적색,80+18+3,2,2,1,N,23:59,23:59,N,Y,N,,수원시도시안전통합센터,031-228-4432,2021-05-10
경기도,수원시,시도,봉영로,봉영로,3,경기도 수원시 영통구 봉영로 1766-1,경기도 수원시 영통구 영통동 1055,37.25136708,127.0713249,99,2,Y,60,1,4,3,녹색+황색+적색/녹색화살표+황색/적색,65+3+15+3,2,2,1,N,23:59,23:59,N,Y,N,,수원시도시안전통합센터,031-228-4432,2021-05-10
경기도,수원시,시도,매영로,매영로,3,경기도 수원시 영통구 매영로310번길 35-1,경기도 수원시 영통구 영통동 1062,37.24967709,127.062731,99,1,Y,61,1,3,4,녹색+황색+적색,37+3+60,2,2,1,Y,1:00,5:00,N,Y,N,,수원시도시안전통합센터,031-228-4432,2021-05-10
경기도,수원시,시도,중부대로,중부대로,3,,경기도 수원시 영통구 원천동 600-6,37.26934518,127.0637515,99,2,Y,62,1,3,3,녹색+황색+적색/녹색화살표+황색/적색,65+3+15+3,2,2,1,N,23:59,23:59,N,Y,Y,,수원시도시안전통합센터,031-228-4432,2021-05-10
경기도,수원시,시도,서호동로,서호동로,3,,경기도 수원시 권선구 서둔동 9-23,37.27065802,126.9946404,99,2,Y,63,1,4,99,황색,1+1,2,2,1,Y,23:59,23:59,N,N,N,,수원시도시안전통합센터,031-228-4432,2021-05-10
경기도,수원시,시도,수인로,수인로,3,,경기도 수원시 권선구 구운동 15-2,37.2855111,126.9680034,99,2,Y,64,1,4,5,녹색/녹색화살표+황색+녹색+황색+적색,30+3+50+3+3,2,2,1,N,23:59,23:59,N,N,N,,수원시도시안전통합센터,031-228-4432,2021-05-10
경기도,수원시,시도,중부대로,중부대로,3,,경기도 수원시 영통구 원천동 426,37.26862303,127.0662763,99,2,Y,65,1,3,3,녹색+황색+적색/녹색화살표+황색/적색,65+3+15+3,2,2,1,N,23:59,23:59,N,N,N,,수원시도시안전통합센터,031-228-4432,2021-05-10
경기도,수원시,시도,덕영대로,덕영대로,3,,경기도 수원시 영통구 망포동 41-10,37.24493327,127.0506354,99,2,Y,66,1,4,4,녹색+황색+적색/녹색화살표+황색/적색,65+3+15+3,2,2,1,N,23:59,23:59,N,Y,N,,수원시도시안전통합센터,031-228-4432,2021-05-10
경기도,수원시,시도,덕영대로,덕영대로,3,경기도 수원시 영통구 덕영대로 지하 1520,경기도 수원시 영통구 영통동 1069,37.24579057,127.0574766,99,2,Y,67,1,4,5,녹색/녹색화살표+황색+녹색+황색+적색,30+3+50+3+3,2,2,1,N,23:59,23:59,N,Y,N,,수원시도시안전통합센터,031-228-4432,2021-05-10
경기도,수원시,시도,덕영대로,덕영대로,3,경기도 수원시 영통구 덕영대로 지하 1520,경기도 수원시 영통구 영통동 1069,37.24579057,127.0574766,99,2,Y,68,1,4,99,녹색/녹색화살표+황색+녹색+황색+적색,30+3+50+3+3,2,2,1,N,23:59,23:59,N,Y,N,,수원시도시안전통합센터,031-228-4432,2021-05-10
경기도,수원시,시도,영통로,영통로,3,경기도 수원시 영통구 영통로174번길 5,경기도 수원시 영통구 망포동 332-7,37.24330524,127.0557435,99,2,Y,69,1,4,5,녹색/녹색화살표+황색+녹색+황색+적색,30+3+50+3+3,2,2,1,N,23:59,23:59,N,Y,N,,수원시도시안전통합센터,031-228-4432,2021-05-10
경기도,수원시,시도,영통로,영통로,3,경기도 수원시 영통구 영통로 151,경기도 수원시 영통구 망포동 399-4,37.24095983,127.0552725,99,2,Y,70,1,4,5,녹색/녹색화살표+황색+녹색+황색+적색,30+3+50+3+3,2,2,1,N,23:59,23:59,N,Y,N,,수원시도시안전통합센터,031-228-4432,2021-05-10
경기도,수원시,시도,영통로,영통로,3,경기도 수원시 영통구 영통로 151,경기도 수원시 영통구 망포동 399-4,37.24095983,127.0552725,99,2,Y,71,1,4,99,녹색/녹색화살표+황색+녹색+황색+적색,30+3+50+3+3,2,2,1,N,23:59,23:59,N,Y,N,,수원시도시안전통합센터,031-228-4432,2021-05-10
경기도,수원시,시도,영통로,영통로,3,,경기도 수원시 영통구 영통동 973-1,37.24968712,127.0588665,99,1,N,72,1,3,2,녹색+황색+적색,37+3+60,2,2,1,Y,23:59,5:00,N,Y,N,,수원시도시안전통합센터,031-228-4432,2021-05-10
경기도,수원시,시도,영통로,영통로,3,,경기도 수원시 영통구 영통동 1057-2,37.25384809,127.0625329,99,2,N,73,1,3,2,녹색+황색+적색/녹색화살표+황색/적색,65+3+15+3,2,2,1,Y,23:59,5:00,N,Y,N,,수원시도시안전통합센터,031-228-4432,2021-05-10
경기도,수원시,시도,덕영대로,덕영대로,3,경기도 수원시 영통구 덕영대로1483번길 16-4,경기도 수원시 영통구 망포동 28-10,37.24638614,127.0528502,99,2,Y,74,1,3,3,녹색/녹색화살표+황색+녹색+황색+적색,30+3+50+3+3,2,2,1,N,23:59,23:59,N,Y,N,,수원시도시안전통합센터,031-228-4432,2021-05-10
경기도,수원시,시도,세화로,세화로,3,경기도 수원시 권선구 세화로 118,경기도 수원시 권선구 서둔동 296-3,37.26287894,126.9960591,99,1,Y,75,1,3,4,녹색+황색+적색/녹색화살표+황색/적색,65+3+15+3,2,2,1,N,23:59,23:59,N,Y,Y,,수원시도시안전통합센터,031-228-4432,2021-05-10
경기도,수원시,시도,동탄원천로,동탄원천로,3,,경기도 수원시 영통구 매탄동 1228,37.26732169,127.0558017,99,2,Y,76,1,4,5,녹색/녹색화살표+황색+녹색+황색+적색,30+3+50+3+3,2,2,1,N,23:59,23:59,N,Y,N,,수원시도시안전통합센터,031-228-4432,2021-05-10
경기도,수원시,시도,동탄원천로,동탄원천로,3,경기도 수원시 영통구 동탄원천로 1111,경기도 수원시 영통구 원천동 209-42,37.26891459,127.0583338,99,2,Y,77,1,4,3,녹색+녹색화살표+황색/적색,80+18+3,2,2,1,N,23:59,23:59,N,Y,N,,수원시도시안전통합센터,031-228-4432,2021-05-10
경기도,수원시,시도,동탄원천로,동탄원천로,3,,경기도수원시 영통구 매탄동 1228-5,37.26604366,127.0524976,99,2,Y,78,1,4,3,녹색+녹색화살표+황색/적색,80+18+3,2,2,1,N,23:59,23:59,N,N,N,,수원시도시안전통합센터,031-228-4432,2021-05-10
경기도,수원시,시도,동탄원천로,동탄원천로,3,경기도 수원시 영통구 매탄로 159-1,경기도 수원시 영통구 매탄동 916,37.26467272,127.0450279,99,2,Y,79,1,4,99,녹색+황색+적색/녹색화살표+황색/적색,65+3+15+3,2,2,1,N,23:59,23:59,N,Y,Y,,수원시도시안전통합센터,031-228-4432,2021-05-10
경기도,수원시,시도,동탄원천로,동탄원천로,3,경기도 수원시 권선구 동탄원천로 854,경기도 수원시 권선구 권선동 1309,37.2509141,127.0418293,99,2,Y,80,1,4,99,녹색/녹색화살표+황색+녹색+황색+적색,30+3+50+3+3,2,2,1,N,23:59,23:59,N,Y,Y,,수원시도시안전통합센터,031-228-4432,2021-05-10
경기도,수원시,시도,동탄원천로,동탄원천로,3,,경기도 수원시 영통구 매탄동 1329,37.25851382,127.0453571,99,2,Y,81,1,4,5,녹색/녹색화살표+황색+적색,70+3+23,2,2,1,N,23:59,23:59,N,Y,N,,수원시도시안전통합센터,031-228-4432,2021-05-10
경기도,수원시,시도,동탄원천로,동탄원천로,3,,경기도 수원시 영통구 매탄동 1339,37.25481979,127.0448365,99,2,Y,82,1,4,3,녹색+황색+적색/녹색화살표+황색/적색,65+3+15+3,2,2,1,N,23:59,23:59,N,Y,N,,수원시도시안전통합센터,031-228-4432,2021-05-10
경기도,수원시,시도,권선로,권선로,3,,경기도 수원시 영통구 신동 532-20,37.24965704,127.0443603,99,2,Y,83,1,4,4,녹색+황색+적색/녹색화살표+황색/적색,65+3+15+3,2,2,1,N,23:59,23:59,N,Y,N,,수원시도시안전통합센터,031-228-4432,2021-05-10
경기도,수원시,시도,동탄원천로,동탄원천로,3,,경기도 수원시 권선구 권선동 1308,37.24957727,127.0403928,99,2,Y,84,1,4,99,녹색+황색+적색/녹색화살표+황색/적색,65+3+15+3,2,2,1,N,23:59,23:59,N,Y,Y,,수원시도시안전통합센터,031-228-4432,2021-05-10
