,교육청명,교육지원청명,유치원명,설립유형,대표자명,원장명,설립일,개원일,주소,전화번호,홈페이지,만3세학급수,만4세학급수,만5세학급수,혼합학급수,특수학급수,만3세유아수,만4세유아수,만5세유아수,혼합유아수,특수유아수,lat,lon
20,강원도교육청,강릉교육지원청,구정초등학교병설유치원,공립(병설),임영선,임영선,19810310,19810310,강원도 강릉시 범일로 266-14,033-647-9608,http://gujoung.gwe.es.kr,0,0,0,1,0,0,0,0,13,0,37.7179000788186,128.890997482178
21,강원도교육청,강릉교육지원청,모산초등학교병설유치원,공립(병설),김태순,김태순,19810310,19810310,강원도 강릉시 모산로224번길 3,033-645-1399, ,0,0,0,1,0,0,0,0,13,0,37.7318400329087,128.901780514655
22,강원도교육청,강릉교육지원청,성원유치원,사립(사인),최은서,박진아,20030113,20030113,강원도 강릉시 강변로 78,033-642-0143,http://www.sungwonkid.com/,2,2,2,0,0,47,52,50,0,0,37.7438519743913,128.877570981999
23,강원도교육청,강릉교육지원청,노암초등학교병설유치원,공립(병설),이영희,이영희,19800301,19801014,강원도 강릉시 노암등길 71,033-640-6174, ,0,0,1,1,0,0,0,10,6,0,37.7408229737556,128.901540983868
24,강원도교육청,강릉교육지원청,솔향유치원,공립(단설),전미정,전미정,20121010,20160301,강원도 강릉시 보래미하길 78,033-650-0910,http://solhyang.gwe.kg.kr/,1,2,2,0,1,15,43,48,0,2,37.7755050918211,128.914127923335
25,강원도교육청,강릉교육지원청,교동초등학교병설유치원,공립(병설),정혜은,정혜은,19810301,19810301,강원도 강릉시 율곡로2968번길 10,033-640-3571,http://krkyodong.gwe.es.kr,0,0,1,1,0,0,0,10,16,0,37.7673082356342,128.89358463194
26,강원도교육청,강릉교육지원청,유천초등학교병설유치원,공립(병설),구미숙,구미숙,20200301,20200301,강원도 강릉시 선수촌로 100,033-820-8070,http://yucheon.gwe.es.kr/main.do,0,1,1,0,1,0,19,20,0,1,37.7600112438555,128.871127555879
27,강원도교육청,강릉교육지원청,경포대초등학교병설유치원,공립(병설),김동원,김동원,19810301,19810301,강원도 강릉시 경포로475번길 23-11,033-610-8961, ,0,0,0,1,0,0,0,0,5,0,37.8048710495312,128.900138774361
28,강원도교육청,강릉교육지원청,연곡초등학교병설유치원,공립(병설),황재익,황재익,20070308,20070301,강원도 강릉시 진고개로 2656,033-662-6056,http://youngok.gwe.es.kr/main.do,0,0,1,1,0,0,0,6,8,0,37.8570964483122,128.829286564461
29,강원도교육청,강릉교육지원청,금천유치원,사립(사인),장명환,김지미,19230729,19230729,강원도 강릉시 금성로 28-2,033-642-9976, ,1,1,1,0,0,10,7,13,0,0,37.754124677373,128.897269472011
30,강원도교육청,강릉교육지원청,신왕초등학교병설유치원,공립(병설),우영철,우영철,19810301,19810301,강원도 강릉시 진고개로 2265-11,033-661-6340, ,0,0,0,1,0,0,0,0,7,0,37.8536153427774,128.787309620299
31,강원도교육청,강릉교육지원청,강동초등학교병설유치원,공립(병설),민영배,민영배,19810301,19810301,강원도 강릉시 단경로 20,033-645-7266,http://kangdong.gwe.es.kr,0,0,0,1,0,0,0,0,7,0,37.724744025908,128.96234064158
32,강원도교육청,강릉교육지원청,왕산초등학교병설유치원,공립(병설),박부기,박부기,19360804,19360804,강원도 강릉시 백두대간로 2011-8,033-648-6131,http://wangsan.gwe.es.kr/,0,0,0,1,0,0,0,0,8,0,37.673598979573,128.836858544849
33,강원도교육청,강릉교육지원청,프렌비숲유치원,사립(법인),양미옥,양미옥,20141014,20150301,강원도 강릉시 율곡로3173번길 19,033-641-3562,http://cosmos.kidswon.com,1,2,2,0,0,24,52,52,0,0,37.7816103566486,128.877697585079
34,강원도교육청,강릉교육지원청,가온유치원,사립(사인),김양희,김양희,20141015,20150302,강원도 강릉시 하슬라로20번길 15,033-645-1231, ,1,2,2,0,0,24,52,44,0,0,37.7560982684264,128.879349545785
35,강원도교육청,강릉교육지원청,옥천초등학교병설유치원,공립(병설),윤종희 ,윤종희 ,20190301,20190301,강원도 강릉시 수문길 25,033-650-6895,http://okcheon.gwe.es.kr/boardCnts/list.do?boardID=69281&m=1001&s=okcheones,0,1,1,0,0,0,8,20,0,0,37.7557567673504,128.903243527637
36,강원도교육청,강릉교육지원청,주문진초등학교병설유치원,공립(병설),김득주,김득주,19820301,19820301,강원도 강릉시 주문로 26,033-660-8787, ,1,1,1,0,0,8,10,8,0,0,37.8868822292924,128.826639877288
37,강원도교육청,고성교육지원청,거진초등학교병설유치원,공립(병설),안보영,안보영,19810301,19810301,강원도 고성군 자산길 19,033-682-2656, ,0,0,0,1,0,0,0,0,14,0,38.4384728862615,128.44483620561
38,강원도교육청,고성교육지원청,천진초등학교병설유치원,공립(병설),이춘기,이춘기,19810306,19810306,강원도 고성군 천진1길 14,033-633-3223,http://www.천진초등학교.한국,0,0,0,1,0,0,0,0,12,0,38.257437953602,128.557089875573
39,강원도교육청,고성교육지원청,죽왕초등학교병설유치원,공립(병설),방대식,방대식,19850820,19850901,강원도 고성군 송지호로 6,033-632-8908,http://jw.gwe.es.kr,0,0,0,1,0,0,0,0,14,0,38.3303363942615,128.522409556076
40,강원도교육청,고성교육지원청,광산초등학교병설유치원,공립(병설),허연숙 ,허연숙,19840615,19840615,강원도 고성군 진부령로 2427,033-681-0084, ,0,0,0,1,0,0,0,0,9,0,38.3752638287589,128.41391753206
41,강원도교육청,고성교육지원청,대진초등학교병설유치원,공립(병설),홍광표,홍광표,19810301,19810401,강원도 고성군 대진3길 15,033-682-6273, ,0,0,0,1,0,0,0,0,4,0,38.4969627401358,128.42357492272
42,강원도교육청,고성교육지원청,간성초등학교병설유치원,공립(병설),이한준,이한준,19810305,19810305,강원도 고성군 간성로39번길 20,033-681-2003, ,0,0,1,1,0,0,0,15,15,0,38.3773055392482,128.468732734177
43,강원도교육청,고성교육지원청,푸른하늘유치원,사립(사인),엄현주,엄현주,19931122,19931122,강원도 고성군 용촌길 7,033-636-1434, ,0,0,0,2,0,0,0,0,44,0,38.2309400719335,128.579174088182
44,강원도교육청,고성교육지원청,거성초등학교병설유치원,공립(병설),지준천,지준천,19810301,19810301,강원도 고성군 거성길 38,033-682-2636,http://www.guesung.es.kr/,0,0,0,1,0,0,0,0,7,0,38.4525810779628,128.457160571794
45,강원도교육청,고성교육지원청,공현진초등학교병설유치원,공립(병설),양성자,양성자,19820301,19820301,강원도 고성군 공현진한옥길 49,033-631-3538, ,0,0,0,1,0,0,0,0,16,0,38.3545746852175,128.507630094785
46,강원도교육청,고성교육지원청,동광초등학교병설유치원,공립(병설),이성표,이성표,19840310,19840310,강원도 고성군 교암1길 15,033-631-7429,http://www.donggwangg.es.kr,0,0,0,1,0,0,0,0,12,0,38.2884329085702,128.54349323531
47,강원도교육청,고성교육지원청,오호초등학교병설유치원,공립(병설),박미선,박미선,19810323,19810323,강원도 고성군 황포길 28,033-632-0287, ,0,0,0,1,0,0,0,0,5,0,38.313752959415,128.531910939775
48,강원도교육청,동해교육지원청,해오름유치원,공립(단설),김옥기,김옥기,20110301,20110301,강원도 동해시 관사길 11,033-520-2000,http://haeorm.gwe.kg.kr/,1,1,1,0,1,25,18,22,0,5,37.5499337692374,129.105103241445
49,강원도교육청,동해교육지원청,동해랑유치원,공립(단설),홍연표,홍연표,20121010,20160301,강원도 동해시 전천로 276-27,033-520-3000,https://dhrang.gwe.kg.kr,1,1,2,0,1,15,21,44,0,5,37.479710681773,129.123807555969
50,강원도교육청,동해교육지원청,동해초등학교병설유치원,공립(병설),이인숙,이인숙,19890301,19890301,강원도 동해시 봉오주택길 22,033-530-7977,http://www.tonghae.es.kr,1,1,1,0,0,10,9,6,0,0,37.5122238433699,129.119799974277
51,강원도교육청,동해교육지원청,바라밀유치원,사립(사인),김종민,송명숙,20030210,20030210,강원도 동해시 해안로 77,033-531-6699, ,2,1,1,0,0,24,25,18,0,0,37.5103870238001,129.12451612241
52,강원도교육청,동해교육지원청,아이솔유치원,사립(사인),김은희,김은희,20110302,20110302,강원도 동해시 승지로 30,033-535-7070, ,2,2,1,0,0,21,23,24,0,0,37.5383963830761,129.098356329879
53,강원도교육청,동해교육지원청,삼화초등학교병설유치원,공립(병설),이현길,이현길,19820301,19820301,강원도 동해시 파수길 38,033-530-6930,http://www.samhwa.es.kr,0,0,1,1,0,0,0,6,5,0,37.4846294628854,129.067705348193
54,강원도교육청,동해교육지원청,리라유치원,사립(사인),이상걸,김미영,19940101,20090811,강원도 동해시 송이고개길 11,033-531-5337, ,2,2,2,0,0,36,48,36,0,0,37.5424963073667,129.099009461235
55,강원도교육청,동해교육지원청,예쁜유치원,사립(사인),최옥련,최옥련,19730301,19730301,강원도 동해시 감추3길 37-1,033-532-9809,http://www.yebbeun-kindergarten.co.kr,2,1,1,0,0,24,26,21,0,0,37.5170940597733,129.1222576017
56,강원도교육청,동해교육지원청,천곡초등학교병설유치원,공립(병설),신순금,신순금,19950301,19950301,강원도 동해시 동굴로 33,033-530-6797,http://www.semsil.es.kr,0,0,12,14,0,0,0,12,14,0,37.5177867993462,129.107887072887
57,강원도교육청,동해교육지원청,동해중앙초등학교병설유치원,공립(병설),윤영희,윤영희,19810308,19810308,강원도 동해시 천곡로 35,033-530-8995, ,0,1,1,0,0,0,8,17,0,0,37.5253337148604,129.108497180212
58,강원도교육청,동해교육지원청,남호초등학교병설유치원,공립(병설),김연옥,김연옥,19810310,19810310,강원도 동해시 평원로 120,033-530-7890,http://www.namho.es.kr,0,1,1,0,0,0,20,22,0,0,37.5343736475906,129.113168493531
59,강원도교육청,동해교육지원청,대동유치원,사립(사인),김재동,이경숙,19951020,19951020,강원도 동해시 청운로 78,033-521-8020, ,2,2,2,0,0,30,44,36,0,0,37.4868824146508,129.103179892736
60,강원도교육청,동해교육지원청,무지개유치원,사립(사인),김성희,김성희,19921010,19921010,강원도 동해시 천곡1길 90,033-535-2166, ,2,2,2,0,0,32,52,50,0,0,37.5278637378647,129.106513861075
61,강원도교육청,동해교육지원청,망상초등학교병설유치원,공립(병설),이금연,이금연,19880401,19880401,강원도 동해시 동해대로 6251,033-530-3518,http://www.mangsang.gwe.es.kr ,0,0,0,1,0,0,0,0,14,0,37.5908674180246,129.090246596586
62,강원도교육청,동해교육지원청,성호유치원,사립(사인),이선희,이선희,19940301,19940301,강원도 동해시 샘실1길 7,033-535-3353, ,2,2,2,0,0,32,38,50,0,0,37.5203221454867,129.104781322831
63,강원도교육청,동해교육지원청,솔빛유치원,사립(사인),손민숙,손민숙,20090301,20090301,강원도 동해시 청운2길 21,033-521-5553, ,1,1,1,1,0,18,23,31,18,0,37.4847407711778,129.105473121603
64,강원도교육청,삼척교육지원청,중앙유치원,사립(사인),배숭혁,정주연,19260610,19260610,강원도 삼척시 죽서루길 61,033-573-1630,http://cafe.daum.net/JAkindergarten,1,1,1,0,0,24,26,25,0,0,37.441590505922,129.159818345708
65,강원도교육청,삼척교육지원청,진주초등학교병설유치원,공립(병설),정명숙,정명숙,20200301,20200301,강원도 삼척시 사직로1길 23,033-573-3463,http://jinju.gwe.es.kr,0,1,1,0,0,0,16,17,0,0,37.4331408959685,129.165120557234
66,강원도교육청,삼척교육지원청,신동초등학교병설유치원,공립(병설),정근재,정근재,20030320,20030320,강원도 삼척시 강원남부로 2997,033-541-1885,http://www.sindong-e.es.kr,0,0,0,1,0,0,0,0,4,0,37.3503852178859,129.081929175099
67,강원도교육청,삼척교육지원청,삼척누리유치원,공립(단설),이은주,이은주,20120118,20120301,강원도 삼척시 동해대로 3783-24,033-570-7101,http://samcheoknuri.gwe.kg.kr/,1,2,2,0,1,16,40,44,0,4,37.4243239041191,129.18777127029
68,강원도교육청,삼척교육지원청,꿈나라유치원,사립(사인),유금란,유금란,20010110,20010110,강원도 삼척시 강원남부로 1348-20,033-541-9160,http://cafe.daum.net/5416565/,0,0,0,1,0,0,0,0,7,0,37.2255732002981,129.041806189533
69,강원도교육청,삼척교육지원청,도계한빛유치원,공립(단설),윤석희,윤석희,20050301,20050301,강원도 삼척시 도계로 265,033-541-9996,https://hanbit.gwe.kg.kr,1,2,1,0,1,10,25,15,0,3,37.2333406726852,129.044626193
70,강원도교육청,삼척교육지원청,노란유치원,사립(사인),심태은,심태은,19761005,19761005,강원도 삼척시 정상로 91-55,033-573-4253, ,2,1,2,0,0,41,25,43,0,0,37.4502335175585,129.173672019972
71,강원도교육청,삼척교육지원청,임원초등학교병설유치원,공립(병설),황의구,황의구,19810310,19810310,강원도 삼척시 삼척로 1246,033-572-7599, ,0,0,0,1,0,0,0,0,3,0,37.2360833134976,129.342239718805
72,강원도교육청,삼척교육지원청,근덕초등학교궁촌분교장병설유치원,공립(병설),박호규,박호규,19870305,19870305,강원도 삼척시 궁촌길 66,033-572-3007, ,0,0,0,1,0,0,0,0,4,0,37.3202137689641,129.264361876878
73,강원도교육청,삼척교육지원청,맹방초등학교병설유치원,공립(병설),김현숙,김현숙,19800301,19800301,강원도 삼척시 삼척로 3884-4,033-572-3406,http://www.m-bang.es.kr,0,0,0,1,0,0,0,0,13,0,37.3985267608017,129.212776806263
74,강원도교육청,삼척교육지원청,정라초등학교병설유치원,공립(병설),오세도,오세도,19810302,19810302,강원도 삼척시 정상로3길 5,033-571-5394,http://jeongra.gwe.es.kr,1,1,1,0,0,16,20,24,0,0,37.4442912069684,129.176880621996
75,강원도교육청,삼척교육지원청,다솔유치원,사립(사인),천성일,김란현,20120301,20120301,강원도 삼척시 정상로 19,033-572-5959, ,2,2,2,0,0,39,34,37,0,0,37.4437422913139,129.175987507898
76,강원도교육청,삼척교육지원청,호산초등학교병설유치원,공립(병설),최미애,최미애,19810307,19810307,강원도 삼척시 삼척로 462-12,033-572-6102,http://hosan.gwe.es.kr/,0,0,0,2,0,0,0,0,25,0,37.1775353095533,129.335433377354
77,강원도교육청,삼척교육지원청,오저초등학교병설유치원,공립(병설),최동순,최동순,20120301,20120301,강원도 삼척시 가곡천로 1430,033-573-4360,http://ojeo.gwe.es.kr/,0,0,0,1,0,0,0,0,4,0,37.1466204176473,129.20661754442
78,강원도교육청,삼척교육지원청,하장초등학교병설유치원,공립(병설),김용묵,김용묵,19840301,19840301,강원도 삼척시 하장길 84,033-544-1034, ,0,0,0,1,0,0,0,0,3,0,37.3477733332836,128.944303900406
79,강원도교육청,삼척교육지원청,장호초등학교병설유치원,공립(병설),김성숙,김성숙,19810320,19810320,강원도 삼척시 장호안1길 24,033-572-8704,http://www.jangho.es.kr/,0,0,0,1,0,0,0,0,5,0,37.2827791109029,129.313910310413
80,강원도교육청,삼척교육지원청,미라유치원,사립(사인),김선의,김선의,20140301,20140301,강원도 삼척시 청석로3길 25,572-3500,https://cafe.naver.com/mirakindergarten,2,2,2,0,0,16,43,35,0,0,37.449013713923,129.176239239733
81,강원도교육청,삼척교육지원청,미로초등학교병설유치원,공립(병설),김정옥,김정옥,19810301,19810301,강원도 삼척시 미로강변로1길 10-11,033-570-0821,http://miro.gwe.es.kr/,0,0,0,1,0,0,0,0,10,0,37.4149159156258,129.115004546009
82,강원도교육청,속초양양교육지원청,경동대학교부속유치원,사립(법인),고희재,한혜경,19990827,19990827,강원도 속초시 도리원길 5,033-639-0700, ,1,1,2,0,0,19,25,44,0,0,38.192172986969,128.551158403428
83,강원도교육청,속초양양교육지원청,산호유치원,공립(단설),이현숙,이현숙,20070301,20070301,강원도 속초시 조양로118번길 7,033-637-0622,https://sanho.gwe.kg.kr,1,2,2,0,0,16,44,47,0,0,38.1877564070428,128.587421141323
84,강원도교육청,속초양양교육지원청,인구초등학교임호분교장병설유치원,공립(병설),김윤찬,김윤찬,19840907,19840907,강원도 양양군 화상천로 164,033-671-7226, ,0,0,0,1,0,0,0,0,1,0,37.9256826213042,128.776813763752
85,강원도교육청,속초양양교육지원청,한남초등학교병설유치원,공립(병설),이행섭,이행섭,19840602,19840602,강원도 양양군 남대천로 218,033-672-2867,http://yyhannam.gwe.es.kr,0,0,0,1,0,0,0,0,8,0,38.0562906811613,128.607344395292
86,강원도교육청,속초양양교육지원청,양양초등학교병설유치원,공립(병설),이용승,이용승,19810301,19810301,강원도 양양군 군청길 39,033-671-2872, ,0,0,0,1,0,0,0,0,12,0,38.0773203365078,128.621743150915
87,강원도교육청,속초양양교육지원청,상평초등학교병설유치원,공립(병설),이준일,이준일,19810304,19810304,강원도 양양군 물윗구미길 18,033-672-2982, ,0,0,0,1,0,0,0,0,11,0,38.0719804207965,128.586430465189
88,강원도교육청,속초양양교육지원청,조산초등학교병설유치원,공립(병설),임경수,임경수,19810301,19810301,강원도 양양군 동해대로 3020,033-670-9800,http://josan.gwe.es.kr,0,0,0,1,0,0,0,0,8,0,38.1137111073172,128.632399826884
89,강원도교육청,속초양양교육지원청,청호초등학교병설유치원,공립(병설),채재순,채재순,20190308,20190308,강원도 속초시 청호로 60,033-636-8743, ,0,0,0,1,0,0,0,0,18,0,38.1962511762468,128.598336821649
90,강원도교육청,속초양양교육지원청,재단법인새싹유치원,사립(법인),김해련,김해련,19790109,19790302,강원도 속초시 수복로 215,033-633-3704, ,1,1,1,0,0,4,17,21,0,0,38.206800842217,128.589338749543
91,강원도교육청,속초양양교육지원청,손양초등학교병설유치원,공립(병설),박대성,박대성,19840613,19840613,강원도 양양군 손중로 202,033-672-2619, ,0,0,0,1,0,0,0,0,4,0,38.0603030287966,128.64298617339
92,강원도교육청,속초양양교육지원청,인구초등학교병설유치원,공립(병설),김윤찬,김윤찬,19810301,19810301,강원도 양양군 해송천로 10,033-670-3309,http://www.ingu.es.kr,0,0,0,1,0,0,0,0,10,0,37.9680829996027,128.758397867635
93,강원도교육청,속초양양교육지원청,소야초등학교병설유치원,공립(병설),홍명갑,홍명갑,20030301,20030301,강원도 속초시 배움터길 42,033-630-9590,http://soya.gwe.es.kr,0,0,1,1,0,0,0,19,16,0,38.1996485179768,128.566719501396
94,강원도교육청,속초양양교육지원청,회룡초등학교병설유치원,공립(병설), 김미정,김미정,19840602,19840602,강원도 양양군 소금재길 161,033-671-8475,http://www.hoe-ryong.es.kr,0,0,0,1,0,0,0,0,7,0,0,0
95,강원도교육청,속초양양교육지원청,설악초등학교병설유치원,공립(병설),박영서,박영서,19820301,19820301,강원도 속초시 청봉로 51,033-636-7052,http://www.seorak.es.kr,0,0,0,1,0,0,0,0,10,0,38.1640579934851,128.540266391171
96,강원도교육청,속초양양교육지원청,강현초등학교병설유치원,공립(병설),김용길,김용길,19810301,19810301,강원도 양양군 진미로12번길 22,033-670-9018,http://kh.gwe.es.kr/,0,0,0,1,0,0,0,0,14,0,38.149663070759,128.603984101525
97,강원도교육청,속초양양교육지원청,온정초등학교병설유치원,공립(병설),김영록,김영록,19820210,19820210,강원도 속초시 온천로 107,033-632-8726,http://onjeong.gwe.es.kr/,0,0,0,1,0,0,0,0,17,0,38.1899334977881,128.553968116205
98,강원도교육청,속초양양교육지원청,청대초등학교병설유치원,공립(병설),김영숙,김영숙,19970301,19970401,강원도 속초시 소평로 175,033-639-9082,https://cheongdae.gwe.es.kr,1,1,2,0,1,15,18,47,0,4,38.1911317378213,128.576561778231
99,강원도교육청,속초양양교육지원청,대포초등학교병설유치원,공립(병설),방진원,방진원,20190301,20190305,강원도 속초시 동해대로 3797,033-630-4707,http://daepo.gwe.es.kr,0,0,0,1,0,0,0,0,18,0,38.1737233187585,128.603162066151
100,강원도교육청,속초양양교육지원청,속초유치원,공립(단설),최미재,최미재,20130110,20150301,강원도 속초시 중앙로 331,033-639-6920,http://sokcho.gwe.kg.kr,2,2,2,0,1,32,44,44,0,4,38.2179095902176,128.590596064972
101,강원도교육청,속초양양교육지원청,광정초등학교병설유치원,공립(병설),배정호,배정호,19810219,19810320,강원도 양양군 하조대1길 38,033-672-8676,http://gi.gwe.es.kr,0,0,0,1,0,0,0,0,7,0,38.018583505215,128.725106782758
102,강원도교육청,속초양양교육지원청,송포초등학교병설유치원,공립(병설),류시덕,류시덕,19840620,19840620,강원도 양양군 동명로 321-11,033-671-8792,http://songpho.gwe.es.kr,0,0,0,1,0,0,0,0,2,0,38.089565391311,128.656532529301
103,강원도교육청,속초양양교육지원청,낙산유치원,사립(사인),허창수,신선희,19850531,19850531,강원도 양양군 남서길 28-4,033-671-4167, ,2,2,2,0,0,32,44,48,0,0,38.0728565478694,128.618488919059
104,강원도교육청,속초양양교육지원청,현북초등학교병설유치원,공립(병설),한상숙,한상숙,19810219,19810219,강원도 양양군 송이로 222,033-672-8714,http://hyonbuk.es.kr ,0,0,0,1,0,0,0,0,6,0,38.015735306922,128.697392763961
105,강원도교육청,속초양양교육지원청,현성초등학교병설유치원,공립(병설),전영선,전영선,19860901,19860901,강원도 양양군 어성전길 114,033-673-8795,http://hyunsung.es.kr,0,0,0,1,0,0,0,0,1,0,37.9520418428316,128.665233212065
106,강원도교육청,양구교육지원청,도촌초등학교병설유치원,공립(병설),최문수,최문수,20200301,20200301,강원도 양구군 정중앙로 259,033-482-0803,http://www.dochon.gwe.es.kr,0,0,0,1,0,0,0,0,11,0,38.0800980145846,128.021374600273
107,강원도교육청,양구교육지원청,원당초등학교병설유치원,공립(병설),차경희,차경희,19870303,19870303,강원도 양구군 원당길52번길 9-17,033-481-0230,https://yg-wondang.gwe.es.kr/,0,0,0,1,1,0,0,0,13,5,38.1886034873468,128.043583469141
108,강원도교육청,양구교육지원청,한전초등학교병설유치원,공립(병설),권오련,권오련,19870310,19870310,강원도 양구군 금강산로 858,033-481-2973,http://hanjon.gwe.es.kr,0,0,0,1,0,0,0,0,10,0,38.1491309810499,128.01598538211
109,강원도교육청,양구교육지원청,해안초등학교병설유치원,공립(병설),한춘자,한춘자,19870216,19870302,강원도 양구군 펀치볼로 1341-33,033-481-9968, ,0,0,0,1,0,0,0,0,10,0,38.2894086135579,128.137539390026
110,강원도교육청,양구교육지원청,양구초등학교병설유치원,공립(병설),김기선,김기선,19810430,19810430,강원도 양구군 양구새싹로 48,033-482-1265,http://yanggu.gwe.es.kr,0,0,1,0,0,0,0,24,0,0,38.1029082347227,127.991452508826
111,강원도교육청,양구교육지원청,죽리초등학교병설유치원,공립(병설),박정섭,박정섭,19820220,19820220,강원도 양구군 춘양로 2726,033-482-0635, ,0,0,0,1,0,0,0,0,20,0,38.0701286209278,127.993795789322
112,강원도교육청,양구교육지원청,비봉초등학교병설유치원,공립(병설),박미혜,박미혜,19820302,19820302,강원도 양구군 관공서로 56,033-482-1476,http://esbibong.gwe.es.kr,0,0,1,1,0,0,0,17,15,0,38.1105895522699,127.988067539677
