시도명,시군구명,도로명,소재지도로명주소,소재지지번주소,횡단보도관리번호,횡단보도종류,자전거횡단도겸용여부,고원식적용여부,lat,lon,차로수,횡단보도폭,횡단보도연장,보행자신호등유무,보행자작동신호기유무,음향신호기설치여부,녹색신호시간,적색신호시간,교통섬유무,보도턱낮춤여부,점자블록유무,집중조명시설유무,관리기관명,관리기관전화번호,데이터기준일자
경기도,수원시,경수대로,경기도 수원시 장안구 경수대로 921,경기도 수원시 장안구 송죽동 506-1,수원-0018,4,,N,37.30146719,127.0088569,7,9.8,34.1,Y,,,,,Y,,Y,,경기도 수원시,031-228-2298,2021-04-29
경기도,수원시,경수대로,경기도 수원시 장안구 경수대로 920,경기도 수원시 장안구 조원동 752-18,수원-0019,4,,N,37.301642,127.0097133,8,12,31.5,Y,,,,,Y,,Y,,경기도 수원시,031-228-2298,2021-04-29
경기도,수원시,경수대로,경기도 수원시 장안구 경수대로 884,경기도 수원시 장안구 조원동 762-23,수원-0020,1,,N,37.29940001,127.0124922,7,7.9,24.6,Y,,,,,N,,Y,,경기도 수원시,031-228-2298,2021-04-29
경기도,수원시,경수대로,경기도 수원시 장안구 경수대로 862,경기도 수원시 장안구 조원동 763-21,수원-0021,1,,N,37.29778377,127.0140146,7,5.6,24.9,Y,,,,,N,,Y,,경기도 수원시,031-228-2298,2021-04-29
경기도,수원시,경수대로,경기도 수원시 장안구 경수대로 860,경기도 수원시 장안구 조원동 774-6,수원-0022,1,,N,37.29756796,127.0141401,8,7.6,23.8,Y,,,,,N,,Y,,경기도 수원시,031-228-2298,2021-04-29
경기도,수원시,경수대로,,경기도 수원시 장안구 조원동 920,수원-0023,1,,N,37.29498527,127.0162577,8,3.7,26,Y,,,,,N,,Y,,경기도 수원시,031-228-2298,2021-04-29
경기도,수원시,경수대로,경기도 수원시 장안구 경수대로 791,경기도 수원시 장안구 영화동 106-5,수원-0024,1,,N,37.292807,127.0181534,8,5.7,28.8,Y,,,,,N,,Y,,경기도 수원시,031-228-2298,2021-04-29
경기도,수원시,경수대로,경기도 수원시 장안구 경수대로 786,경기도 수원시 장안구 영화동 116-12,수원-0025,1,,N,37.29244322,127.0195772,8,7.7,26.6,Y,,,,,N,,Y,,경기도 수원시,031-228-2298,2021-04-29
경기도,수원시,경수대로,경기도 수원시 장안구 경수대로 769,경기도 수원시 장안구 영화동 36-1,수원-0026,1,,N,37.29114905,127.0205219,6,4,25.4,Y,,,,,N,,N,,경기도 수원시,031-228-2298,2021-04-29
경기도,수원시,경수대로,,경기도 수원시 장안구 연무동 161-13,수원-0027,4,,N,37.28998337,127.0244442,7,5.3,30.2,Y,,,,,Y,,Y,,경기도 수원시,031-228-2298,2021-04-29
경기도,수원시,경수대로,,경기도 수원시 팔달구 우만동 599,수원-0028,4,,N,37.28928942,127.0253123,6,8.2,31.8,Y,,,,,Y,,Y,,경기도 수원시,031-228-2298,2021-04-29
경기도,수원시,경수대로,,경기도 수원시 팔달구 우만동 473-24,수원-0029,99,,N,37.28709961,127.0269242,7,3.6,35.4,N,,,,,N,,N,,경기도 수원시,031-228-2298,2021-04-29
경기도,수원시,경수대로,경기도 수원시 팔달구 세지로 393,경기도 수원시 팔달구 우만동 490-7,수원-0030,4,,N,37.28513169,127.0282312,7,8,22.7,Y,,,,,Y,,Y,,경기도 수원시,031-228-2298,2021-04-29
경기도,수원시,경수대로,경기도 수원시 팔달구 경수대로 665,경기도 수원시 팔달구 지동 472-14,수원-0031,1,,N,37.2845619,127.0277497,7,9.4,25.3,Y,,,,,N,,Y,,경기도 수원시,031-228-2298,2021-04-29
경기도,수원시,경수대로,경기도 수원시 팔달구 경수대로 657-5,경기도 수원시 팔달구 지동 477,수원-0032,1,,N,37.28386036,127.0281376,1,3.1,5.5,Y,,,,,N,,Y,,경기도 수원시,031-228-2298,2021-04-29
경기도,수원시,경수대로,경기도 수원시 팔달구 경수대로 617,경기도 수원시 팔달구 지동 481,수원-0033,1,,N,37.28067615,127.029827,1,3.2,5.9,Y,,,,,N,,Y,,경기도 수원시,031-228-2298,2021-04-29
경기도,수원시,경수대로,경기도 수원시 팔달구 경수대로 617,경기도 수원시 팔달구 지동 481,수원-0034,3,,N,37.28067615,127.029827,5,7.8,33.6,Y,,,,,N,,Y,,경기도 수원시,031-228-2298,2021-04-29
경기도,수원시,경수대로,,경기도 수원시 팔달구 지동 482,수원-0035,1,,N,37.27981865,127.0300002,1,3.9,6.6,N,,,,,N,,Y,,경기도 수원시,031-228-2298,2021-04-29
경기도,수원시,경수대로,경기도 수원시 팔달구 경수대로 599-2,경기도 수원시 팔달구 지동 482-5,수원-0036,1,,N,37.27922696,127.0303437,1,3.1,6.2,N,,,,,N,,Y,,경기도 수원시,031-228-2298,2021-04-29
경기도,수원시,경수대로,경기도 수원시 팔달구 경수대로 593,경기도 수원시 팔달구 지동 483-2,수원-0037,4,,N,37.27868699,127.0305613,9,7.9,33.5,Y,,,,,Y,,Y,,경기도 수원시,031-228-2298,2021-04-29
경기도,수원시,경수대로,경기도 수원시 팔달구 중부대로 130,경기도 수원시 팔달구 인계동 952,수원-0038,3,,N,37.27805563,127.0304637,8,8,33.2,Y,,,,,Y,,Y,,경기도 수원시,031-228-2298,2021-04-29
경기도,수원시,경수대로,경기도 수원시 팔달구 경수대로 555,경기도 수원시 팔달구 인계동 953-5,수원-0039,3,,N,37.2754739,127.029521,5,8.3,31.8,Y,,,,,N,,Y,,경기도 수원시,031-228-2298,2021-04-29
경기도,수원시,경수대로,경기도 수원시 팔달구 장다리로 288,경기도 수원시 팔달구 인계동 958,수원-0040,3,,N,37.27433643,127.0290882,5,7.8,32.6,Y,,,,,N,,Y,,경기도 수원시,031-228-2298,2021-04-29
경기도,수원시,경수대로,경기도 수원시 팔달구 경수대로 542,경기도 수원시 팔달구 인계동 944-4,수원-0041,1,,N,37.27412364,127.0299806,3,3.2,10.7,N,,,,,N,,Y,,경기도 수원시,031-228-2298,2021-04-29
경기도,수원시,경수대로,경기도 수원시 팔달구 경수대로 514-4,경기도 수원시 팔달구 인계동 947-16,수원-0042,1,,N,37.27147841,127.0289368,2,4.1,14,N,,,,,N,,Y,,경기도 수원시,031-228-2298,2021-04-29
경기도,수원시,경수대로,경기도 수원시 팔달구 경수대로496번길 11-29,경기도 수원시 팔달구 인계동 947-1,수원-0043,1,,N,37.27140729,127.0291854,2,4,7.6,N,,,,,N,,Y,,경기도 수원시,031-228-2298,2021-04-29
경기도,수원시,경수대로,경기도 수원시 팔달구 경수대로 509,경기도 수원시 팔달구 인계동 962-5,수원-0044,3,,N,37.27145656,127.0279782,8,8.1,31.5,Y,,,,,N,,Y,,경기도 수원시,031-228-2298,2021-04-29
경기도,수원시,경수대로,경기도 수원시 팔달구 인계로 91,경기도 수원시 팔달구 인계동 951-10,수원-0045,3,,N,37.26860733,127.0277704,10,8.2,35.2,Y,,,,,Y,,Y,,경기도 수원시,031-228-2298,2021-04-29
경기도,수원시,경수대로,경기도 수원시 팔달구 경수대로 472,경기도 수원시 팔달구 인계동 1018,수원-0046,1,,N,37.26804772,127.0275822,10,10,30.2,Y,,,,,N,,Y,,경기도 수원시,031-228-2298,2021-04-29
경기도,수원시,경수대로,경기도 수원시 팔달구 경수대로 419,경기도 수원시 팔달구 인계동 1014,수원-0047,1,,N,37.2637103,127.0249026,7,7.9,41.4,Y,,,,,N,,Y,,경기도 수원시,031-228-2298,2021-04-29
경기도,수원시,경수대로,경기도 수원시 권선구 경수대로 411,경기도 수원시 권선구 권선동 941-5,수원-0048,1,,N,37.26324979,127.0247025,9,8.2,32.9,Y,,,,,N,,Y,,경기도 수원시,031-228-2298,2021-04-29
경기도,수원시,경수대로,경기도 수원시 권선구 경수대로 396-4,경기도 수원시 권선구 권선동 1009,수원-0049,1,,N,37.26143898,127.0249507,1,4,7.6,N,,,,,N,,Y,,경기도 수원시,031-228-2298,2021-04-29
경기도,수원시,경수대로,경기도 수원시 권선구 경수대로 379,경기도 수원시 권선구 권선동 961,수원-0050,1,,N,37.26038777,127.0235589,8,8.2,37.8,Y,,,,,N,,Y,,경기도 수원시,031-228-2298,2021-04-29
경기도,수원시,경수대로,경기도 수원시 권선구 경수대로 373,경기도 수원시 권선구 권선동 968,수원-0051,1,,N,37.25984608,127.023348,7,10.1,39.5,Y,,,,,N,,Y,,경기도 수원시,031-228-2298,2021-04-29
경기도,수원시,경수대로,경기도 수원시 권선구 세권로 157,경기도 수원시 권선구 권선동 1003,수원-0052,1,,N,37.25658517,127.0216432,8,8,25.9,Y,,,,,N,,Y,,경기도 수원시,031-228-2298,2021-04-29
경기도,수원시,경수대로,경기도 수원시 권선구 세권로 158,경기도 수원시 권선구 세류동 1078,수원-0053,1,,N,37.25609738,127.0213869,7,8.1,23.6,Y,,,,,N,,Y,,경기도 수원시,031-228-2298,2021-04-29
경기도,수원시,경수대로,경기도 수원시 권선구 경수대로 301,경기도 수원시 권선구 세류동 1100-5,수원-0054,1,,N,37.25396576,127.0203178,7,7.8,23,Y,,,,,N,,Y,,경기도 수원시,031-228-2298,2021-04-29
경기도,수원시,경수대로,경기도 수원시 권선구 경수대로 271,경기도 수원시 권선구 세류동 1121,수원-0055,1,,N,37.25149966,127.0190142,10,6,31.6,Y,,,,,N,,Y,,경기도 수원시,031-228-2298,2021-04-29
경기도,수원시,경수대로,경기도 수원시 권선구 경수대로 259,경기도 수원시 권선구 세류동 1122,수원-0056,4,,N,37.25048751,127.0183779,10,5.7,27.7,Y,,,,,Y,,Y,,경기도 수원시,031-228-2298,2021-04-29
경기도,수원시,경수대로,경기도 수원시 권선구 경수대로 249,경기도 수원시 권선구 세류동 1129-5,수원-0057,4,,N,37.24971045,127.0179205,11,7.9,28.1,Y,,,,,Y,,Y,,경기도 수원시,031-228-2298,2021-04-29
경기도,수원시,경수대로,,경기도 수원시 권선구 세류동 1150-19,수원-0058,3,,N,37.24823979,127.0173878,8,6,29,Y,,,,,N,,Y,,경기도 수원시,031-228-2298,2021-04-29
경기도,수원시,경수대로,경기도 수원시 권선구 경수대로211번길 3,경기도 수원시 권선구 세류동 1154-24,수원-0059,3,,N,37.24611126,127.0172782,6,8.5,23.9,Y,,,,,N,,Y,,경기도 수원시,031-228-2298,2021-04-29
경기도,수원시,경수대로,경기도 수원시 권선구 경수대로 193,경기도 수원시 권선구 세류동 1155-9,수원-0060,1,,N,37.24447044,127.0172097,7,5.6,23.1,Y,,,,,Y,,Y,,경기도 수원시,031-228-2298,2021-04-29
경기도,수원시,경수대로,경기도 수원시 권선구 경수대로 177,경기도 수원시 권선구 세류동 1171,수원-0061,1,,N,37.24310026,127.0171959,8,7.7,30.2,Y,,,,,N,,Y,,경기도 수원시,031-228-2298,2021-04-29
경기도,수원시,경수대로,경기도 수원시 권선구 경수대로 161-7,경기도 수원시 권선구 세류동 1178-4,수원-0062,4,,N,37.24166478,127.0166414,10,6,32.7,Y,,,,,Y,,Y,,경기도 수원시,031-228-2298,2021-04-29
경기도,수원시,경수대로,,경기도 수원시 권선구 대황교동 6-34,수원-0063,1,,N,37.23360666,127.0199994,1,1.7,22.2,N,,,,,N,,N,,경기도 수원시,031-228-2298,2021-04-29
경기도,수원시,창룡대로,,경기도 수원시 영통구 이의동 1379-7,수원-0064,4,,N,37.2951752,127.0491672,15,9.1,46.7,Y,,,,,Y,,Y,,경기도 수원시,031-228-2298,2021-04-29
경기도,수원시,창룡대로,,경기도 수원시 영통구 이의동 1379-7,수원-0065,3,,N,37.2951752,127.0491672,15,7,45.7,Y,,,,,Y,,Y,,경기도 수원시,031-228-2298,2021-04-29
경기도,수원시,창룡대로,,경기도 수원시 영통구 이의동 1281,수원-0066,1,,N,37.29762019,127.0400557,12,9.7,37.6,Y,,,,,N,,Y,,경기도 수원시,031-228-2298,2021-04-29
경기도,수원시,창룡대로,경기도 수원시 영통구 창룡대로 255,경기도 수원시 영통구 이의동 1088-29,수원-0067,3,,N,37.29557358,127.0360301,4,5.9,7.3,N,,,,,N,,Y,,경기도 수원시,031-228-2298,2021-04-29
경기도,수원시,창룡대로,경기도 수원시 영통구 창룡대로 263,경기도 수원시 영통구 이의동 1088-34,수원-0068,1,,N,37.29587655,127.0351369,2,4.1,9.5,N,,,,,N,,N,,경기도 수원시,031-228-2298,2021-04-29
경기도,수원시,창룡대로,경기도 수원시 영통구 창룡대로 263,경기도 수원시 영통구 이의동 1088-34,수원-0069,1,,N,37.29587655,127.0351369,2,5.9,8.4,N,,,,,N,,Y,,경기도 수원시,031-228-2298,2021-04-29
경기도,수원시,창룡대로,경기도 수원시 영통구 창룡대로 263,경기도 수원시 영통구 이의동 1088-34,수원-0070,1,,N,37.29587655,127.0351369,5,6,23.1,N,,,,,N,,Y,,경기도 수원시,031-228-2298,2021-04-29
경기도,수원시,창룡대로,경기도 수원시 영통구 창룡대로 263,경기도 수원시 영통구 이의동 1088-34,수원-0071,1,,N,37.29587655,127.0351369,2,6.2,10,N,,,,,N,,Y,,경기도 수원시,031-228-2298,2021-04-29
경기도,수원시,창룡대로,경기도 수원시 영통구 창룡대로 255,경기도 수원시 영통구 이의동 1088-13,수원-0072,1,,Y,37.29557358,127.0360301,2,3.3,19.9,N,,,,,N,,Y,,경기도 수원시,031-228-2298,2021-04-29
경기도,수원시,창룡대로,,경기도 수원시 영통구 이의동 1175-178,수원-0073,1,,N,37.29376517,127.0354186,2,3.3,22.1,N,,,,,N,,Y,,경기도 수원시,031-228-2298,2021-04-29
경기도,수원시,창룡대로,경기도 수원시 영통구 창룡대로 236-31,경기도 수원시 영통구 이의동 907-1,수원-0074,1,,N,37.29348529,127.0374146,1,1.7,18.7,N,,,,,N,,Y,,경기도 수원시,031-228-2298,2021-04-29
경기도,수원시,창룡대로,,경기도 수원시 팔달구 우만동 239-1,수원-0075,1,,N,37.2923497,127.0383953,1,0.8,4.9,N,,,,,N,,N,,경기도 수원시,031-228-2298,2021-04-29
경기도,수원시,창룡대로,,경기도 수원시 장안구 연무동 산11-2,수원-0076,1,,N,37.29469896,127.0336661,8,6,28.2,Y,,,,,N,,Y,,경기도 수원시,031-228-2298,2021-04-29
경기도,수원시,창룡대로,경기도 수원시 장안구 창룡대로 205,경기도 수원시 장안구 연무동 245-17,수원-0077,1,,N,37.29273912,127.0326966,6,7.6,25.2,Y,,,,,N,,Y,,경기도 수원시,031-228-2298,2021-04-29
경기도,수원시,창룡대로,경기도 수원시 장안구 창룡대로 193,경기도 수원시 장안구 연무동 245-32,수원-0078,1,,N,37.29267906,127.0311852,8,8.4,24.5,Y,,,,,N,,Y,,경기도 수원시,031-228-2298,2021-04-29
경기도,수원시,창룡대로,,경기도 수원시 장안구 연무동 247-9,수원-0079,1,,N,37.2922079,127.0293618,8,8.1,24.6,Y,,,,,N,,Y,,경기도 수원시,031-228-2298,2021-04-29
경기도,수원시,창룡대로,경기도 수원시 장안구 창룡대로 159,경기도 수원시 장안구 연무동 260-20,수원-0080,1,,N,37.29192536,127.0275232,7,9.9,27,Y,,,,,N,,Y,,경기도 수원시,031-228-2298,2021-04-29
경기도,수원시,창룡대로,경기도 수원시 장안구 창룡대로151번길 2,경기도 수원시 장안구 연무동 260-33,수원-0081,1,,N,37.29156125,127.0266342,7,7.8,26.6,Y,,,,,N,,Y,,경기도 수원시,031-228-2298,2021-04-29
경기도,수원시,창룡대로,,경기도 수원시 팔달구 우만동 599,수원-0082,4,,N,37.28928942,127.0253123,8,7.9,20.2,Y,,,,,Y,,Y,,경기도 수원시,031-228-2298,2021-04-29
경기도,수원시,창룡대로,,경기도 수원시 팔달구 지동 산2,수원-0083,1,,N,37.28887495,127.0252784,4,7.58,2.65,Y,,,,,N,,Y,,경기도 수원시,031-228-2298,2021-04-29
경기도,수원시,창룡대로,,경기도 수원시 팔달구 매향동 3-32,수원-0084,1,,N,37.28784636,127.0240965,4,6.1,14.5,Y,,,,,N,,Y,,경기도 수원시,031-228-2298,2021-04-29
경기도,수원시,창룡대로,경기도 수원시 팔달구 창룡대로 61-2,경기도 수원시 팔달구 매향동 122-32,수원-0085,1,,N,37.28451144,127.0219177,4,7.3,14.9,Y,,,,,N,,Y,,경기도 수원시,031-228-2298,2021-04-29
경기도,수원시,창룡대로,경기도 수원시 팔달구 창룡대로 43,경기도 수원시 팔달구 매향동 122-47,수원-0086,1,,N,37.28291137,127.0207772,4,7.6,14.4,Y,,,,,N,,Y,,경기도 수원시,031-228-2298,2021-04-29
경기도,수원시,창룡대로,경기도 수원시 팔달구 창룡대로 40,경기도 수원시 팔달구 남수동 16-21,수원-0087,1,,N,37.28247025,127.0209154,6,5.6,20.1,Y,,,,,N,,Y,,경기도 수원시,031-228-2298,2021-04-29
경기도,수원시,창룡대로,경기도 수원시 팔달구 창룡대로 16,경기도 수원시 팔달구 남수동 69-2,수원-0088,1,,N,37.28170344,127.01854,5,7.9,16.6,Y,,,,,N,,Y,,경기도 수원시,031-228-2298,2021-04-29
경기도,수원시,창룡대로,경기도 수원시 팔달구 수원천로 317,경기도 수원시 팔달구 남수동 130-1,수원-0089,1,,N,37.28166481,127.0179085,4,6.7,14.7,N,,,,,N,,N,,경기도 수원시,031-228-2298,2021-04-29
경기도,수원시,창룡대로,경기도 수원시 팔달구 정조로 830,경기도 수원시 팔달구 북수동 368-1,수원-0090,1,,N,37.28206606,127.0168343,5,8.2,15,Y,,,,,N,,Y,,경기도 수원시,031-228-2298,2021-04-29
경기도,수원시,수인로,,경기도 수원시 권선구 구운동 796,수원-0091,1,,N,37.28679029,126.9670894,1,1.9,4.4,N,,,,,N,,Y,,경기도 수원시,031-228-2298,2021-04-29
경기도,수원시,수인로,,경기도 수원시 권선구 구운동 14-5,수원-0092,1,,N,37.28568227,126.9679018,1,2.4,7.6,N,,,,,N,,Y,,경기도 수원시,031-228-2298,2021-04-29
경기도,수원시,수인로,,경기도 수원시 권선구 구운동 17-3,수원-0093,99,,N,37.28537607,126.9684207,10,4.1,45,N,,,,,N,,N,,경기도 수원시,031-228-2298,2021-04-29
경기도,수원시,수인로,,경기도 수원시 권선구 구운동 31-4,수원-0094,99,,N,37.28348435,126.9699551,10,3.1,43.8,N,,,,,N,,N,,경기도 수원시,031-228-2298,2021-04-29
경기도,수원시,수인로,,경기도 수원시 권선구 구운동 920,수원-0095,99,,N,37.28243066,126.9718161,10,3.1,43.4,N,,,,,N,,N,,경기도 수원시,031-228-2298,2021-04-29
경기도,수원시,수인로,경기도 수원시 권선구 구운로85번길 6,경기도 수원시 권선구 구운동 921-8,수원-0096,4,,N,37.28160771,126.9727978,9,8.5,30.7,Y,,,,,Y,,Y,,경기도 수원시,031-228-2298,2021-04-29
경기도,수원시,수인로,,경기도 수원시 권선구 구운동 476-12,수원-0097,4,,N,37.28079135,126.9740607,9,8.7,31.4,Y,,,,,Y,,Y,,경기도 수원시,031-228-2298,2021-04-29
경기도,수원시,수인로,,경기도 수원시 권선구 구운동 507,수원-0098,99,,N,37.27695392,126.9782341,6,4.4,59.4,N,,,,,N,,N,,경기도 수원시,031-228-2298,2021-04-29
경기도,수원시,수인로,경기도 수원시 권선구 수인로135번길 22,경기도 수원시 권선구 서둔동 211-2,수원-0099,1,,N,37.27346795,126.9829722,7,6.6,23.5,Y,,,,,N,,Y,,경기도 수원시,031-228-2298,2021-04-29
경기도,수원시,수인로,,경기도 수원시 권선구 구운동 507,수원-0100,99,,N,37.27695392,126.9782341,8,5.7,30.6,N,,,,,N,,N,,경기도 수원시,031-228-2298,2021-04-29
경기도,수원시,수인로,경기도 수원시 권선구 금호로 261,경기도 수원시 권선구 구운동 507-5,수원-0101,1,,N,37.27617999,126.9785996,1,2,6.6,Y,,,,,N,,Y,,경기도 수원시,031-228-2298,2021-04-29
경기도,수원시,수인로,,경기도 수원시 권선구 서둔동 212-13,수원-0102,1,,N,37.27409851,126.9826773,7,7.7,27,Y,,,,,N,,Y,,경기도 수원시,031-228-2298,2021-04-29
경기도,수원시,수인로,,경기도 수원시 권선구 서둔동 208-1,수원-0103,1,,N,37.27320685,126.9848987,7,8,26,Y,,,,,N,,Y,,경기도 수원시,031-228-2298,2021-04-29
경기도,수원시,수인로,,경기도 수원시 권선구 서둔동 1-53,수원-0104,1,,N,37.27232445,126.9895328,6,8,25.7,Y,,,,,N,,Y,,경기도 수원시,031-228-2298,2021-04-29
경기도,수원시,수인로,,경기도 수원시 권선구 서둔동 9-18,수원-0105,4,,N,37.27092834,126.9948095,7,8.3,26.7,Y,,,,,Y,,Y,,경기도 수원시,031-228-2298,2021-04-29
경기도,수원시,수인로,,경기도 수원시 팔달구 고등동 297,수원-0106,1,,N,37.27020759,126.9959821,7,6.3,32.4,Y,,,,,N,,Y,,경기도 수원시,031-228-2298,2021-04-29
경기도,수원시,덕영대로,,경기도 수원시 장안구 율전동 557-28,수원-0107,4,,N,37.301701,126.9631797,9,8.3,27.5,Y,,,,,Y,,Y,,경기도 수원시,031-228-2298,2021-04-29
경기도,수원시,덕영대로,,경기도 수원시 장안구 율전동 557-28,수원-0108,4,,N,37.301701,126.9631797,5,6.3,13.8,Y,,,,,Y,,Y,,경기도 수원시,031-228-2298,2021-04-29
경기도,수원시,덕영대로,,경기도 수원시 장안구 율전동 185-2,수원-0109,1,,N,37.30117939,126.9662253,9,8.8,29.4,Y,,,,,N,,N,,경기도 수원시,031-228-2298,2021-04-29
경기도,수원시,덕영대로,,경기도 수원시 장안구 율전동 529,수원-0110,2,,N,37.30026241,126.9736473,5,7.8,31.9,Y,,,,,N,,Y,,경기도 수원시,031-228-2298,2021-04-29
경기도,수원시,덕영대로,,경기도 수원시 장안구 율전동 529,수원-0111,2,,N,37.30026241,126.9736473,4,7.9,32.4,Y,,,,,N,,Y,,경기도 수원시,031-228-2298,2021-04-29
경기도,수원시,덕영대로,,경기도 수원시 장안구 천천동 574,수원-0112,4,,N,37.29987582,126.977313,9,8.6,30.9,Y,,,,,N,,Y,,경기도 수원시,031-228-2298,2021-04-29
경기도,수원시,덕영대로,,경기도 수원시 장안구 천천동 535-2,수원-0113,99,,N,37.29729023,126.9789831,8,3.4,38.3,N,,,,,N,,N,,경기도 수원시,031-228-2298,2021-04-29
경기도,수원시,덕영대로,경기도 수원시 장안구 덕영대로 559,경기도 수원시 장안구 천천동 522,수원-0114,1,,N,37.2949624,126.9821256,10,8.6,32.6,Y,,,,,N,,Y,,경기도 수원시,031-228-2298,2021-04-29
경기도,수원시,덕영대로,경기도 수원시 장안구 만석로20번길 28,경기도 수원시 장안구 정자동 919,수원-0115,1,,N,37.29354012,126.9846287,10,8.3,32.6,Y,,,,,N,,Y,,경기도 수원시,031-228-2298,2021-04-29
경기도,수원시,덕영대로,,경기도 수원시 장안구 정자동 863,수원-0116,4,,N,37.29156959,126.9837327,10,9.7,30.2,Y,,,,,Y,,N,,경기도 수원시,031-228-2298,2021-04-29
경기도,수원시,덕영대로,경기도 수원시 팔달구 수성로157번길 75,경기도 수원시 팔달구 화서동 674-1,수원-0117,1,,N,37.288632,126.9877308,8,8.2,28.6,Y,,,,,N,,Y,,경기도 수원시,031-228-2298,2021-04-29
경기도,수원시,덕영대로,,경기도 수원시 팔달구 화서동 667,수원-0118,1,,N,37.28506515,126.9911431,2,3.1,9.9,N,,,,,N,,Y,,경기도 수원시,031-228-2298,2021-04-29
경기도,수원시,덕영대로,경기도 수원시 팔달구 덕영대로 695,경기도 수원시 팔달구 화서동 644-8,수원-0119,1,,N,37.28472217,126.9903294,9,8.3,33.7,Y,,,,,N,,Y,,경기도 수원시,031-228-2298,2021-04-29
